isin,year,Scope 1,Scope 2 (location based),Scope 2 (market based),Scope 3 (total),Scope 3 (cat 1),Scope 3 (cat 2),Scope 3 (cat 3),Scope 3 (cat 4),Scope 3 (cat 5),Scope 3 (cat 6),Scope 3 (cat 7),Scope 3 (cat 8),Scope 3 (cat 9),Scope 3 (cat 10),Scope 3 (cat 11),Scope 3 (cat 12),Scope 3 (cat 13),Scope 3 (cat 14),Scope 3 (cat 15),CountryName
US8064071025,2013,291,65795,212426,184539,9400,42612,243484,170458,233661,73318,185791,116293,106759,80188,43571,42973,43316,277578,183350,UNITED STATES
US8064071025,2014,320,92557,137610,237944,244634,240327,1367,145413,238138,233541,199034,219555,121567,165437,236064,147674,159314,67476,210678,UNITED STATES
US8064071025,2015,359,117652,130711,28488,136667,11784,207682,99871,281756,156782,34392,65888,34658,232863,158078,55887,43778,4189,102994,UNITED STATES
US8064071025,2016,406,181820,41085,268110,199358,67772,2550,110968,120725,133041,178798,229478,130027,222384,201730,268588,70225,248941,45156,UNITED STATES
US8064071025,2017,443,59121,41412,12655,273126,158716,196505,37284,205640,50561,164430,3168,99446,24610,59473,102319,253113,32121,82783,UNITED STATES
US8064071025,2018,424,172493,140942,13918,84240,234408,161461,245961,6895,133405,20967,287752,207993,177565,208211,157866,37577,132330,61804,UNITED STATES
US8064071025,2019,446,181162,19334,87967,262570,254108,196571,47645,283906,194608,115551,6956,264810,54579,61637,9427,261197,77432,31507,UNITED STATES
US8064071025,2020,403,256705,285544,7798,56130,79125,77782,43076,159133,116593,250568,37703,246007,162204,172160,228955,79239,119874,4899,UNITED STATES
US8064071025,2021,405,185428,17263,136947,280669,99546,186008,242039,232461,218469,28838,71991,126613,169463,175795,248847,190616,127759,89810,UNITED STATES
US8064071025,2022,447,226145,166204,62890,146117,120754,22605,95695,244411,147969,92265,96646,103841,95591,68399,102508,194202,190799,117160,UNITED STATES
US8064071025,2023,382,231698,285757,212635,119356,237262,143800,68024,257613,147510,75448,9519,218920,77994,216187,64285,157381,32562,277083,UNITED STATES
US44934S2068,2013,297,223015,14797,107847,109333,209719,163816,19005,274626,283728,182732,71605,172409,140247,153596,211172,227996,63218,196632,UNITED STATES
US44934S2068,2014,340,80290,49410,262946,40721,60635,274509,100468,119054,228588,94737,242261,124520,272953,84475,154214,187012,195168,96886,UNITED STATES
US44934S2068,2015,372,140348,49205,155724,191331,137330,80886,120557,195570,455,81378,34160,152445,195138,140519,276304,218837,114326,214814,UNITED STATES
US44934S2068,2016,396,184235,182158,19768,221120,64118,136321,32621,118057,179654,241093,187585,247618,30628,38339,91282,148884,18106,177674,UNITED STATES
US44934S2068,2017,372,219123,91093,247171,178301,253460,159550,179513,199516,212789,151202,153319,200247,129010,48613,51508,131880,74148,73908,UNITED STATES
US44934S2068,2018,332,248621,200172,84715,41835,74888,162760,232586,22126,183498,114170,12570,195264,248576,115413,64496,68974,203131,210203,UNITED STATES
US44934S2068,2019,292,109815,115320,3231,100784,3007,150233,41800,276359,151268,101121,105156,275035,91841,35283,199104,134882,228377,286672,UNITED STATES
US44934S2068,2020,327,259483,75529,17784,225388,210745,111434,271039,238100,14082,195833,102866,256812,127594,30927,269984,142171,146547,179284,UNITED STATES
US44934S2068,2021,376,251025,96542,81553,137402,124481,24030,191770,40418,160848,212326,189107,193866,57424,99147,218155,21578,237160,168585,UNITED STATES
US44934S2068,2022,327,270216,269246,117911,93551,101802,84176,80269,93195,246986,52688,217399,126456,240227,129254,287158,84913,239934,105029,UNITED STATES
US44934S2068,2023,367,276086,270203,174188,170373,53081,109373,236890,21417,163031,31116,27389,229178,80069,197547,78383,273796,192941,166059,UNITED STATES
SG1R95002270,2013,330,173077,181947,248731,187739,204851,266708,79949,226334,107466,176378,149700,81637,31619,196535,197952,271840,142397,8509,SINGAPORE
SG1R95002270,2014,338,120845,197784,187955,129402,114813,106889,195736,255883,167649,98314,178723,137489,6650,240662,283134,39445,85739,279071,SINGAPORE
