Key,Module,Pillar,Name,Description,Data Type,Unit,Polarity
em_60000,Emissions Plus,E,Scope 1,Scope 1 CO2e emissions,Continuous,number (tCO2e)/NULL,Negative
em_60100,Emissions Plus,E,Scope 2 (location based),Scope 2 CO2e emissions calculated using location based method,Continuous,number (tCO2e)/NULL,Negative
em_60200,Emissions Plus,E,Scope 2 (market based),Scope 2 CO2e emissions calculated using market based method,Continuous,number (tCO2e)/NULL,Negative
em_60300,Emissions Plus,E,Scope 3 (total),Scope 3 CO2e emissions,Continuous,number (tCO2e)/NULL,Negative
em_60400,Emissions Plus,E,Scope 3 (cat 1),Scope 3 CO2e emissions – purchased goods and services,Continuous,number (tCO2e)/NULL,Negative
em_60500,Emissions Plus,E,Scope 3 (cat 2),Scope 3 CO2e emissions – Capital goods,Continuous,number (tCO2e)/NULL,Negative
em_60600,Emissions Plus,E,Scope 3 (cat 3),Scope 3 CO2e emissions – fuel and energy related activities,Continuous,number (tCO2e)/NULL,Negative
em_60700,Emissions Plus,E,Scope 3 (cat 4),Scope 3 CO2e emissions – upstream transportation and distribution,Continuous,number (tCO2e)/NULL,Negative
em_60800,Emissions Plus,E,Scope 3 (cat 5),Scope 3 CO2e emissions – waste,Continuous,number (tCO2e)/NULL,Negative
em_60900,Emissions Plus,E,Scope 3 (cat 6),Scope 3 CO2e emissions – business travel,Continuous,number (tCO2e)/NULL,Negative
em_61000,Emissions Plus,E,Scope 3 (cat 7),Scope 3 CO2e emissions – employee commuting,Continuous,number (tCO2e)/NULL,Negative
em_61100,Emissions Plus,E,Scope 3 (cat 8),Scope 3 CO2e emissions – upstream leased assets,Continuous,number (tCO2e)/NULL,Negative
em_61200,Emissions Plus,E,Scope 3 (cat 9),Scope 3 CO2e emissions – downstream transportation and distribution,Continuous,number (tCO2e)/NULL,Negative
em_61300,Emissions Plus,E,Scope 3 (cat 10),Scope 3 CO2e emissions – processing of sold products,Continuous,number (tCO2e)/NULL,Negative
em_61400,Emissions Plus,E,Scope 3 (cat 11),Scope 3 CO2e emissions – use of sold products,Continuous,number (tCO2e)/NULL,Negative
em_61500,Emissions Plus,E,Scope 3 (cat 12),Scope 3 CO2e emissions – end-of life treatment of sold products,Continuous,number (tCO2e)/NULL,Negative
em_61600,Emissions Plus,E,Scope 3 (cat 13),Scope 3 CO2e emissions – downstream leased assets,Continuous,number (tCO2e)/NULL,Negative
em_61700,Emissions Plus,E,Scope 3 (cat 14),Scope 3 CO2e emissions – franchises,Continuous,number (tCO2e)/NULL,Negative
em_61800,Emissions Plus,E,Scope 3 (cat 15),Scope 3 CO2e emissions – investments,Continuous,number (tCO2e)/NULL,Negative
em_61900,Emissions Plus,E,CH₄ Emissions [Methane GHG],Total CH₄ emissions across all operations ,Continuous,number (tCH4 or tCO2e)/NULL,Negative
em_62000,Emissions Plus,E,CO₂ Emissions [Carbon Dioxide GHG],Total CO₂ emissions across all operations ,Continuous,number (tCO2e)/NULL,Negative
em_62100,Emissions Plus,E,HFC Emissions [Fluoroform GHG] ,Total HFC emissions across all operations ,Continuous,number (tHFCs or tCO2e)/NULL,Negative
em_62200,Emissions Plus,E,N₂O Emissions [Nitrous Oxide GHG] ,Total N₂O emissions across all operations ,Continuous,number (tN2O or tCO2e)/NULL,Negative
em_62300,Emissions Plus,E,PFC Emissions [Perfluorocarbons GHG],Total PFC emissions across all operations,Continuous,number (tPFCs)/NULL,Negative
em_62400,Emissions Plus,E,SF₆ Emissions [Sulfur Hexafluoride GHG],Total SF₆ emissions across all operations ,Continuous,number (tSF6 or tCO2e)/NULL,Negative
em_62500,Emissions Plus,E,Board oversight of climate risks and opportunities,Does the company describe the board’s or a board committee's oversight of climate-related risks or opportunities?,Binary,Disclosed/Not Disclosed,Positive
em_62501,Emissions Plus,E,Board oversight of climate risks and opportunities 1,"Evidence that the board or a board committee has oversight of the climate-related risks and opportunities. (In a dual board structure, a member / committee of either supervisory board or management board having the responsibility)",Binary,Disclosed/Not Disclosed,Positive
em_62502,Emissions Plus,E,Board oversight of climate risks and opportunities 2,A description of the process by which the board and/or board committees are informed about climate-related issues,Binary,Disclosed/Not Disclosed,Positive
em_62503,Emissions Plus,E,Board oversight of climate risks and opportunities 3,A description of the frequency at which the board and/or board committees are informed about climate-related issues,Binary,Disclosed/Not Disclosed,Positive
em_62504,Emissions Plus,E,Board oversight of climate risks and opportunities 4,"A description of whether the board considers climate-related issues when reviewing and guiding strategy, major plans of action, risk management policies, annual budgets, and/or business plans",Binary,Disclosed/Not Disclosed,Positive
em_62505,Emissions Plus,E,Board oversight of climate risks and opportunities 5,A description of whether the board considers climate-related issues when setting performance objectives and/or monitoring implementation and performance,Binary,Disclosed/Not Disclosed,Positive
em_62506,Emissions Plus,E,Board oversight of climate risks and opportunities 6,"A description of whether the board considers climate-related issues when overseeing major capital expenditures, acquisitions and/or divestitures",Binary,Disclosed/Not Disclosed,Positive
em_62507,Emissions Plus,E,Board oversight of climate risks and opportunities 7,A description of whether the board monitors progress against goals and targets for addressing climate-related issues,Binary,Disclosed/Not Disclosed,Positive
em_62600,Emissions Plus,E,Management role in climate risks and opportunities,Does the company describe management’s or a management committee's role in assessing and managing climate-related risks or opportunities?,Binary,Disclosed/Not Disclosed,Positive
em_62601,Emissions Plus,E,Management role in climate risks and opportunities 1,Evidence that management level positions have been assigned climate-related responsibilities,Binary,Disclosed/Not Disclosed,Positive
em_62602,Emissions Plus,E,Management role in climate risks and opportunities 2,"An outline of which positions have been assigned this responsibility (e.g. an organisational structure, a description of the responsibilities of these positions) ",Binary,Disclosed/Not Disclosed,Positive
