,isin,year,em_60000,em_60100,em_60200,em_60300,em_60400,em_60500,em_60600,em_60700,em_60800,em_60900,em_61000,em_61100,em_61200,em_61300,em_61400,em_61500,em_61600,em_61700,em_61800
0,US8064071025,2013,291421.29192021256,65795884.0,212426970.0,184539020.0,9400945.0,42612054.0,243484197.0,170458758.0,233661112.0,73318945.0,185791949.0,116293388.0,106759184.0,80188875.0,43571917.0,42973665.0,43316672.0,277578005.0,183350100.0
1,US8064071025,2014,320364.4865411786,92557559.0,137610557.0,237944462.0,244634801.0,240327973.0,1367225.0,145413835.0,238138521.0,233541795.0,199034293.0,219555759.0,121567508.0,165437155.0,236064611.0,147674515.0,159314997.0,67476538.0,210678326.0
2,US8064071025,2015,359538.59085227095,117652704.0,130711616.0,28488739.0,136667414.0,11784419.0,207682742.0,99871361.0,281756375.0,156782449.0,34392665.0,65888280.0,34658491.0,232863105.0,158078218.0,55887076.0,43778612.0,4189478.0,102994071.0
3,US8064071025,2016,406079.40375993657,181820414.0,41085010.0,268110496.0,199358266.0,67772816.0,2550905.0,110968842.0,120725267.0,133041728.0,178798857.0,229478602.0,130027620.0,222384578.0,201730595.0,268588063.0,70225428.0,248941684.0,45156689.0
4,US8064071025,2017,443119.9490720844,59121777.0,41412550.0,12655509.0,273126246.0,158716053.0,196505629.0,37284103.0,205640520.0,50561587.0,164430253.0,3168473.0,99446974.0,24610829.0,59473160.0,102319146.0,253113019.0,32121552.0,82783988.0
5,US8064071025,2018,424818.3225116059,172493967.0,,13918299.0,84240060.0,234408656.0,161461751.0,245961691.0,6895019.0,133405574.0,20967797.0,287752626.0,207993533.0,177565173.0,208211650.0,157866710.0,37577889.0,132330753.0,61804976.0
6,US8064071025,2019,446393.1301126337,181162665.0,19334735.0,87967087.0,262570963.0,254108520.0,196571197.0,47645493.0,283906334.0,194608692.0,115551439.0,6956316.0,264810405.0,54579748.0,61637127.0,9427120.0,261197692.0,77432175.0,31507746.0
7,US8064071025,2020,403207.80643136863,256705409.0,285544882.0,7798912.0,56130432.0,79125806.0,77782646.0,43076485.0,159133609.0,116593038.0,250568242.0,37703584.0,246007121.0,162204550.0,172160417.0,228955986.0,79239517.0,119874753.0,4899574.0
8,US8064071025,2021,405820.6711737962,185428157.0,17263570.0,136947035.0,280669537.0,99546911.0,186008189.0,242039363.0,232461481.0,218469083.0,28838662.0,71991283.0,126613896.0,169463376.0,175795849.0,248847273.0,190616876.0,127759007.0,89810019.0
9,US8064071025,2022,447300.9253484445,226145370.0,166204394.0,62890204.0,146117790.0,120754993.0,22605282.0,95695339.0,244411917.0,147969901.0,92265670.0,96646958.0,103841136.0,95591382.0,68399927.0,102508871.0,194202845.0,190799889.0,117160818.0
10,US8064071025,2023,382363.08761241636,231698154.0,285757651.0,212635112.0,119356862.0,237262933.0,143800229.0,68024738.0,257613001.0,147510678.0,75448752.0,9519142.0,218920931.0,77994464.0,216187856.0,64285802.0,157381263.0,32562147.0,277083575.0
11,US44934S2068,2013,297517.70909149933,223015605.0,14797047.0,107847061.0,109333572.0,209719029.0,163816249.0,19005334.0,274626471.0,283728335.0,182732501.0,71605676.0,172409527.0,140247362.0,153596099.0,211172030.0,227996400.0,63218527.0,196632912.0
12,US44934S2068,2014,340433.44020941947,80290560.0,49410853.0,262946637.0,40721093.0,60635040.0,274509988.0,100468489.0,119054751.0,228588583.0,94737460.0,242261892.0,124520736.0,272953697.0,84475846.0,154214794.0,187012407.0,195168405.0,96886833.0
13,US44934S2068,2015,372972.51577191113,140348436.0,49205295.0,155724402.0,191331245.0,137330859.0,80886109.0,120557047.0,195570084.0,455079.0,81378796.0,34160842.0,152445738.0,195138959.0,140519398.0,276304153.0,218837847.0,114326544.0,214814096.0
14,US44934S2068,2016,396388.42400456924,184235125.0,182158716.0,19768495.0,221120210.0,64118286.0,136321964.0,32621233.0,118057599.0,179654640.0,241093866.0,187585038.0,247618045.0,30628704.0,38339890.0,91282234.0,148884986.0,18106696.0,177674935.0
15,US44934S2068,2017,372452.0421813646,219123831.0,91093180.0,247171034.0,178301101.0,253460464.0,159550603.0,179513569.0,199516250.0,212789929.0,151202904.0,153319153.0,200247191.0,129010258.0,48613052.0,51508118.0,131880940.0,74148611.0,73908621.0
16,US44934S2068,2018,332866.5467302504,248621459.0,200172560.0,84715485.0,41835941.0,74888234.0,162760560.0,232586753.0,22126929.0,183498715.0,114170706.0,12570868.0,195264913.0,248576559.0,115413099.0,64496335.0,68974735.0,203131188.0,210203853.0
17,US44934S2068,2019,292757.19817883463,109815642.0,115320987.0,3231368.0,100784030.0,3007920.0,150233261.0,41800828.0,276359003.0,151268596.0,101121020.0,105156433.0,275035058.0,91841381.0,35283474.0,199104820.0,134882514.0,228377649.0,286672623.0
18,US44934S2068,2020,327741.3166006641,259483776.0,75529302.0,17784012.0,225388579.0,210745409.0,111434567.0,271039053.0,238100709.0,14082440.0,195833806.0,102866313.0,256812247.0,127594236.0,30927903.0,269984780.0,142171092.0,146547572.0,179284284.0
19,US44934S2068,2021,376594.87722893193,251025087.0,96542431.0,81553505.0,137402308.0,124481025.0,24030683.0,191770370.0,40418025.0,160848954.0,212326150.0,189107114.0,193866789.0,57424222.0,99147003.0,218155495.0,21578940.0,237160199.0,168585243.0
20,US44934S2068,2022,327960.4401495971,270216440.0,269246428.0,117911129.0,93551431.0,101802217.0,84176418.0,80269507.0,93195490.0,246986337.0,52688270.0,217399211.0,126456413.0,240227283.0,129254782.0,287158496.0,84913040.0,239934799.0,105029273.0
21,US44934S2068,2023,367451.37299133424,276086939.0,270203580.0,174188235.0,170373159.0,53081864.0,109373834.0,236890311.0,21417168.0,163031447.0,31116967.0,27389137.0,229178053.0,80069731.0,197547001.0,78383509.0,273796717.0,192941708.0,166059260.0
22,SG1R95002270,2013,330769.109150197,173077485.0,181947672.0,248731259.0,187739911.0,204851633.0,266708175.0,79949108.0,226334875.0,107466449.0,176378889.0,149700787.0,81637025.0,31619396.0,196535304.0,197952174.0,271840631.0,142397595.0,8509701.0
23,SG1R95002270,2014,338286.9723837647,120845283.0,197784111.0,187955272.0,129402124.0,114813649.0,106889644.0,195736362.0,255883098.0,167649952.0,98314979.0,178723262.0,137489818.0,6650988.0,240662055.0,283134964.0,39445342.0,85739310.0,279071545.0
24,SG1R95002270,2015,337813.23275748314,217888125.0,233993367.0,284375671.0,16906210.0,44369828.0,94069584.0,135293352.0,12820896.0,266400995.0,204152647.0,146405993.0,130891166.0,254368687.0,55250356.0,187637704.0,422322.0,253711371.0,101869002.0
25,SG1R95002270,2016,352536.1546762108,121117212.0,119509239.0,97622510.0,51998197.0,284207815.0,93568065.0,168815043.0,126744511.0,186312977.0,23151134.0,264367060.0,150946994.0,124892538.0,146434451.0,268671283.0,59820435.0,240017294.0,102360939.0
26,SG1R95002270,2017,393992.731000753,287905917.0,253207357.0,3677620.0,37934487.0,263543762.0,59876608.0,173802708.0,82513862.0,235922683.0,171179526.0,247505313.0,151500193.0,73208830.0,211672989.0,,171335526.0,245750144.0,144529325.0
27,SG1R95002270,2018,443525.1469144678,252887441.0,242247211.0,22786130.0,103449004.0,9394722.0,260387518.0,215205354.0,188744105.0,87741220.0,222851413.0,87199466.0,38838880.0,226222152.0,94131565.0,225742647.0,195011070.0,101803057.0,279272841.0
28,SG1R95002270,2019,381204.8881021022,130607849.0,270254779.0,237941045.0,152040420.0,152031129.0,91120754.0,257702441.0,72228613.0,281209604.0,95149574.0,276388191.0,34896082.0,197078078.0,158413471.0,284568484.0,201768819.0,126614767.0,37249370.0
29,SG1R95002270,2020,342404.18077448494,79706860.0,57739770.0,108423046.0,1358581.0,2487579.0,252515120.0,194896319.0,283681731.0,252900588.0,145619315.0,48014406.0,184743158.0,18117443.0,2923659.0,242284651.0,168787254.0,44561009.0,139610639.0
30,SG1R95002270,2021,314151.01803343714,41336064.0,274821198.0,108396107.0,60209058.0,186108656.0,280520817.0,251315713.0,154394354.0,143014871.0,2905090.0,111123940.0,77244442.0,14924762.0,253244212.0,198649560.0,264955287.0,267713237.0,47509721.0
31,SG1R95002270,2022,311426.28910343384,201236463.0,237489610.0,278113742.0,159361440.0,150657365.0,51482873.0,181972270.0,245702755.0,275892038.0,174030285.0,251359287.0,226505140.0,243374251.0,282219862.0,14976440.0,261544967.0,64978459.0,72788564.0
32,SG1R95002270,2023,315848.1803530522,73818188.0,272813573.0,228687378.0,30688904.0,168462718.0,163048939.0,272992208.0,10828053.0,271386480.0,96857490.0,238832413.0,141542352.0,211221232.0,66131666.0,156168121.0,19894122.0,92907342.0,109617197.0
33,US86646P1030,2013,313691.92090753827,246401786.0,46780369.0,275749484.0,903770.0,71062283.0,87305549.0,53991114.0,163964901.0,136674443.0,145139750.0,79479958.0,23173358.0,125190117.0,217338773.0,174029715.0,223832364.0,235781861.0,156609782.0
